Distance;Concentration
-18.0855;21
-17.0672;21
-16.2118;21
-15.4379;21
-14.4196;21
-13.0346;21
-12.0163;21
-11.0794;21
-10.3462;21
-9.4094;21
-8.554;21
-8.2281;21
-7.4134;21
-6.5988;21
-5.7026;21
-5.5804;21
-4.6029;21
-3.6253;21
-3.2994;21
-2.7291;21
-1.9959;21
-1.7515;21
-1.5479;21
-1.4257;21
-1.1813;21
-1.0591;21
-0.9369;21
-0.8147;21
-0.6925;21
-0.611;21
-0.5703;21
-0.4481;21
-0.3666;21
-0.1629;21
0.4888;21
0.7332;21
0.8961;21
1.0183;21
1.1405;21
1.3035;21
1.3849;21
1.5479;21
1.6701;21
1.833;21
2.0367;21
2.2811;21
2.5662;21
3.0143;21
3.5845;21
4.3585;21
5.2546;21
5.947;21
6.9246;21
7.7393;21
9.4094;21
10.4277;21
11.3646;21
12.3014;21
13.3198;21
14.2974;21
15.2749;21
16.2525;21
17.2301;21
18.2485;21
19.1446;21
