Distance;Concentration
-18.0855;18.8099
-17.0672;18.8099
-16.2118;18.6871
-15.4379;18.8099
-14.4196;18.8304
-13.0346;18.8099
-12.0163;18.7895
-11.0794;18.7895
-10.3462;18.6462
-9.4094;18.4825
-8.554;18.5643
-8.2281;18.2368
-7.4134;17.9912
-6.5988;17.7251
-5.7026;17.7456
-5.5804;17.5
-4.6029;17.4386
-3.6253;17.4591
-3.2994;17.8275
-2.7291;18.2368
-1.9959;19.2398
-1.7515;19.731
-1.5479;20.2427
-1.4257;20.7544
-1.1813;21.2456
-1.0591;21.8392
-0.9369;22.3509
-0.8147;22.8421
-0.6925;23.3538
-0.611;23.8655
-0.5703;24.3772
-0.4481;24.8889
-0.3666;25.4006
-0.1629;26.2398
0.4888;26.2398
0.7332;25.7485
0.8961;25.2573
1.0183;24.7456
1.1405;24.2339
1.3035;23.3743
1.3849;22.8626
1.5479;22.1667
1.6701;21.655
1.833;21.1637
2.0367;20.652
2.2811;20.1608
2.5662;19.6901
3.0143;19.2398
3.5845;18.8304
4.3585;18.5439
5.2546;18.3596
5.947;18.4415
6.9246;18.4415
7.7393;18.3187
9.4094;18.3187
10.4277;18.3187
11.3646;18.2368
12.3014;18.2164
13.3198;18.2368
14.2974;18.2164
15.2749;18.1754
16.2525;18.1345
17.2301;18.1754
18.2485;18.1754
19.1446;18.2368
